dataset	sample	effect_id	block_size	high_source_spots	neighbor_spots	background_spots	neighbor_mean	background_mean	observed_delta	observed_ratio	block_null_delta_mean	block_null_ratio_mean	block_empirical_p_delta_ge_observed	survives_block_delta_p_0_05	target
GSE217414	19G02977	hla_drb5_original_to_pyruvate_mito_entry	8	453	1157	707	0.1305977134832559	0.08958335771701734	0.041014355766238575	1.4578345444005103	0.028347242178502322	1.2867309660851296	0.014925373134328358	1	pyruvate_mito_entry
GSE217414	19G02977	hla_drb5_original_to_pyruvate_mito_entry	12	453	1157	707	0.1305977134832559	0.08958335771701734	0.041014355766238575	1.4578345444005103	0.02429977468888189	1.2364672884933277	0.014925373134328358	1	pyruvate_mito_entry
GSE217414	19G02977	hla_drb5_original_to_pyruvate_mito_entry	16	453	1157	707	0.1305977134832559	0.08958335771701734	0.041014355766238575	1.4578345444005103	0.01692819315609707	1.1574606195771369	0.004975124378109453	1	pyruvate_mito_entry
GSE217414	19G02977	hla_drb5_original_to_pyruvate_mito_entry	20	453	1157	707	0.1305977134832559	0.08958335771701734	0.041014355766238575	1.4578345444005103	0.020238374959938424	1.1888865371533877	0.004975124378109453	1	pyruvate_mito_entry
GSE217414	19G02977	hla_drb5_original_to_glutamate_transamination	8	453	1157	707	0.041255457820482594	0.024306702231644616	0.016948755588837978	1.6972873336462972	0.011196615977519572	1.3715510165356264	0.029850746268656716	1	glutamate_transamination
GSE217414	19G02977	hla_drb5_original_to_glutamate_transamination	12	453	1157	707	0.041255457820482594	0.024306702231644616	0.016948755588837978	1.6972873336462972	0.009456741420771962	1.2953266921530184	0.014925373134328358	1	glutamate_transamination
GSE217414	19G02977	hla_drb5_original_to_glutamate_transamination	16	453	1157	707	0.041255457820482594	0.024306702231644616	0.016948755588837978	1.6972873336462972	0.007009867931325611	1.210967052809668	0.009950248756218905	1	glutamate_transamination
GSE217414	19G02977	hla_drb5_original_to_glutamate_transamination	20	453	1157	707	0.041255457820482594	0.024306702231644616	0.016948755588837978	1.6972873336462972	0.007375414290679344	1.2213026072151691	0.004975124378109453	1	glutamate_transamination
GSE217414	19G02977	hla_drb5_original_to_lactate_import_anabolic	8	453	1157	707	0.07505046638366558	0.052778303641403436	0.022272162742262146	1.421994668369563	0.01706370689122499	1.3021511166308175	0.05472636815920398	0	lactate_import_anabolic
GSE217414	19G02977	hla_drb5_original_to_lactate_import_anabolic	12	453	1157	707	0.07505046638366558	0.052778303641403436	0.022272162742262146	1.421994668369563	0.013839108005858636	1.231907549335078	0.009950248756218905	1	lactate_import_anabolic
GSE217414	19G02977	hla_drb5_original_to_lactate_import_anabolic	16	453	1157	707	0.07505046638366558	0.052778303641403436	0.022272162742262146	1.421994668369563	0.010120106694209008	1.1638152759579397	0.004975124378109453	1	lactate_import_anabolic
GSE217414	19G02977	hla_drb5_original_to_lactate_import_anabolic	20	453	1157	707	0.07505046638366558	0.052778303641403436	0.022272162742262146	1.421994668369563	0.010723698920834563	1.1718562544128799	0.004975124378109453	1	lactate_import_anabolic
GSE217414	19G02977	hla_drb5_original_to_lactate_export_glycolytic	8	453	1157	707	0.10110605840803047	0.07311424609529248	0.027991812312737993	1.3828503172453592	0.018217665967508737	1.228328974659848	0.014925373134328358	1	lactate_export_glycolytic
GSE217414	19G02977	hla_drb5_original_to_lactate_export_glycolytic	12	453	1157	707	0.10110605840803047	0.07311424609529248	0.027991812312737993	1.3828503172453592	0.01632708959755353	1.1999122441320533	0.004975124378109453	1	lactate_export_glycolytic
GSE217414	19G02977	hla_drb5_original_to_lactate_export_glycolytic	16	453	1157	707	0.10110605840803047	0.07311424609529248	0.027991812312737993	1.3828503172453592	0.011873235255600604	1.140229168340989	0.004975124378109453	1	lactate_export_glycolytic
GSE217414	19G02977	hla_drb5_original_to_lactate_export_glycolytic	20	453	1157	707	0.10110605840803047	0.07311424609529248	0.027991812312737993	1.3828503172453592	0.013051544174688998	1.1542377597210065	0.004975124378109453	1	lactate_export_glycolytic
GSE217414	19G0619	hla_drb5_original_to_pyruvate_mito_entry	8	1498	1674	207	0.138254637105663	0.0876309648802655	0.05062367222539749	1.577691599020587	0.029105071564117155	1.2714216079944907	0.004975124378109453	1	pyruvate_mito_entry
GSE217414	19G0619	hla_drb5_original_to_pyruvate_mito_entry	12	1498	1674	207	0.138254637105663	0.0876309648802655	0.05062367222539749	1.577691599020587	0.0244716113098161	1.2205987928051285	0.009950248756218905	1	pyruvate_mito_entry
GSE217414	19G0619	hla_drb5_original_to_pyruvate_mito_entry	16	1498	1674	207	0.138254637105663	0.0876309648802655	0.05062367222539749	1.577691599020587	0.022099436296257133	1.1948913026511248	0.009950248756218905	1	pyruvate_mito_entry
GSE217414	19G0619	hla_drb5_original_to_pyruvate_mito_entry	20	1498	1674	207	0.138254637105663	0.0876309648802655	0.05062367222539749	1.577691599020587	0.023671921678067972	1.208293436441699	0.009950248756218905	1	pyruvate_mito_entry
GSE217414	19G0619	hla_drb5_original_to_glutamate_transamination	8	1498	1674	207	0.06997770470493986	0.03997725317642751	0.03000045152851235	1.7504380402554032	0.02036504406461921	1.3839895579400967	0.07462686567164178	0	glutamate_transamination
GSE217414	19G0619	hla_drb5_original_to_glutamate_transamination	12	1498	1674	207	0.06997770470493986	0.03997725317642751	0.03000045152851235	1.7504380402554032	0.02011249035052406	1.373210916112554	0.06467661691542288	0	glutamate_transamination
GSE217414	19G0619	hla_drb5_original_to_glutamate_transamination	16	1498	1674	207	0.06997770470493986	0.03997725317642751	0.03000045152851235	1.7504380402554032	0.015909836770473244	1.273457260272795	0.01990049751243781	1	glutamate_transamination
GSE217414	19G0619	hla_drb5_original_to_glutamate_transamination	20	1498	1674	207	0.06997770470493986	0.03997725317642751	0.03000045152851235	1.7504380402554032	0.01760176830092509	1.3167805192085031	0.06467661691542288	0	glutamate_transamination
GSE217414	19G0619	hla_drb5_original_to_lactate_import_anabolic	8	1498	1674	207	0.08213438720216408	0.05333993057786424	0.028794456624299837	1.5398292857218185	0.02180186344886936	1.3531247602059528	0.09950248756218906	0	lactate_import_anabolic
GSE217414	19G0619	hla_drb5_original_to_lactate_import_anabolic	12	1498	1674	207	0.08213438720216408	0.05333993057786424	0.028794456624299837	1.5398292857218185	0.02105706272261923	1.3322816055772677	0.06965174129353234	0	lactate_import_anabolic
GSE217414	19G0619	hla_drb5_original_to_lactate_import_anabolic	16	1498	1674	207	0.08213438720216408	0.05333993057786424	0.028794456624299837	1.5398292857218185	0.018726702779124426	1.2851561244908094	0.05970149253731343	0	lactate_import_anabolic
GSE217414	19G0619	hla_drb5_original_to_lactate_import_anabolic	20	1498	1674	207	0.08213438720216408	0.05333993057786424	0.028794456624299837	1.5398292857218185	0.020746636335836476	1.3260249839795994	0.0945273631840796	0	lactate_import_anabolic
GSE217414	19G0619	hla_drb5_original_to_lactate_export_glycolytic	8	1498	1674	207	0.0658874379295211	0.04158530650167534	0.024302131427845763	1.5843922642933197	0.025318299751070566	1.595367813730718	0.5422885572139303	0	lactate_export_glycolytic
GSE217414	19G0619	hla_drb5_original_to_lactate_export_glycolytic	12	1498	1674	207	0.0658874379295211	0.04158530650167534	0.024302131427845763	1.5843922642933197	0.021662351306007684	1.4621559810087326	0.2935323383084577	0	lactate_export_glycolytic
GSE217414	19G0619	hla_drb5_original_to_lactate_export_glycolytic	16	1498	1674	207	0.0658874379295211	0.04158530650167534	0.024302131427845763	1.5843922642933197	0.018693971412010037	1.3794615964479235	0.17412935323383086	0	lactate_export_glycolytic
GSE217414	19G0619	hla_drb5_original_to_lactate_export_glycolytic	20	1498	1674	207	0.0658874379295211	0.04158530650167534	0.024302131427845763	1.5843922642933197	0.02410271573955417	1.5477169112457931	0.4975124378109453	0	lactate_export_glycolytic
GSE217414	19G0635	hla_drb5_original_to_pyruvate_mito_entry	8	1058	921	112	0.6904779590750527	0.34685900184253426	0.34361895723251845	1.9906589000348716	0.2852519588877487	1.6722650253006506	0.03482587064676617	1	pyruvate_mito_entry
GSE217414	19G0635	hla_drb5_original_to_pyruvate_mito_entry	12	1058	921	112	0.6904779590750527	0.34685900184253426	0.34361895723251845	1.9906589000348716	0.24713255636457832	1.5356063650349285	0.004975124378109453	1	pyruvate_mito_entry
GSE217414	19G0635	hla_drb5_original_to_pyruvate_mito_entry	16	1058	921	112	0.6904779590750527	0.34685900184253426	0.34361895723251845	1.9906589000348716	0.19235497460319462	1.3641812355409846	0.004975124378109453	1	pyruvate_mito_entry
GSE217414	19G0635	hla_drb5_original_to_pyruvate_mito_entry	20	1058	921	112	0.6904779590750527	0.34685900184253426	0.34361895723251845	1.9906589000348716	0.17923015985557292	1.3361249414469831	0.004975124378109453	1	pyruvate_mito_entry
GSE217414	19G0635	hla_drb5_original_to_glutamate_transamination	8	1058	921	112	0.3506775149293611	0.16618802024280388	0.18448949468655723	2.110125112610491	0.15262202267832956	1.7341770531968217	0.06467661691542288	0	glutamate_transamination
GSE217414	19G0635	hla_drb5_original_to_glutamate_transamination	12	1058	921	112	0.3506775149293611	0.16618802024280388	0.18448949468655723	2.110125112610491	0.13020887382189802	1.5613976286487272	0.024875621890547265	1	glutamate_transamination
GSE217414	19G0635	hla_drb5_original_to_glutamate_transamination	16	1058	921	112	0.3506775149293611	0.16618802024280388	0.18448949468655723	2.110125112610491	0.10318224027192598	1.3912501446016714	0.004975124378109453	1	glutamate_transamination
GSE217414	19G0635	hla_drb5_original_to_glutamate_transamination	20	1058	921	112	0.3506775149293611	0.16618802024280388	0.18448949468655723	2.110125112610491	0.09334488924054313	1.3454012363171828	0.004975124378109453	1	glutamate_transamination
GSE217414	19G0635	hla_drb5_original_to_lactate_import_anabolic	8	1058	921	112	0.5251480131731444	0.2505114563419348	0.27463655683120963	2.096303382055092	0.22214099839446283	1.710250872555209	0.004975124378109453	1	lactate_import_anabolic
GSE217414	19G0635	hla_drb5_original_to_lactate_import_anabolic	12	1058	921	112	0.5251480131731444	0.2505114563419348	0.27463655683120963	2.096303382055092	0.1831954339731323	1.518931055663769	0.004975124378109453	1	lactate_import_anabolic
GSE217414	19G0635	hla_drb5_original_to_lactate_import_anabolic	16	1058	921	112	0.5251480131731444	0.2505114563419348	0.27463655683120963	2.096303382055092	0.14039970624024067	1.350097296668905	0.004975124378109453	1	lactate_import_anabolic
GSE217414	19G0635	hla_drb5_original_to_lactate_import_anabolic	20	1058	921	112	0.5251480131731444	0.2505114563419348	0.27463655683120963	2.096303382055092	0.13802099390242184	1.3461369993732608	0.004975124378109453	1	lactate_import_anabolic
GSE217414	19G0635	hla_drb5_original_to_lactate_export_glycolytic	8	1058	921	112	0.8144574256632259	0.5286673907590048	0.28579003490422106	1.5405857064380573	0.2139686177292439	1.3551170703922701	0.009950248756218905	1	lactate_export_glycolytic
GSE217414	19G0635	hla_drb5_original_to_lactate_export_glycolytic	12	1058	921	112	0.8144574256632259	0.5286673907590048	0.28579003490422106	1.5405857064380573	0.17068778037325472	1.267153136026571	0.009950248756218905	1	lactate_export_glycolytic
GSE217414	19G0635	hla_drb5_original_to_lactate_export_glycolytic	16	1058	921	112	0.8144574256632259	0.5286673907590048	0.28579003490422106	1.5405857064380573	0.14515636847740215	1.2143743723206084	0.004975124378109453	1	lactate_export_glycolytic
GSE217414	19G0635	hla_drb5_original_to_lactate_export_glycolytic	20	1058	921	112	0.8144574256632259	0.5286673907590048	0.28579003490422106	1.5405857064380573	0.07758677778359606	1.1074481467919464	0.004975124378109453	1	lactate_export_glycolytic
GSE217414	19G081	hla_drb5_original_to_pyruvate_mito_entry	8	1276	1472	139	0.3294583491490778	0.20132676683505685	0.12813158231402094	1.6364359013374346	0.09382213987195015	1.3941102433399606	0.009950248756218905	1	pyruvate_mito_entry
GSE217414	19G081	hla_drb5_original_to_pyruvate_mito_entry	12	1276	1472	139	0.3294583491490778	0.20132676683505685	0.12813158231402094	1.6364359013374346	0.091367924455891	1.3797008684069503	0.009950248756218905	1	pyruvate_mito_entry
GSE217414	19G081	hla_drb5_original_to_pyruvate_mito_entry	16	1276	1472	139	0.3294583491490778	0.20132676683505685	0.12813158231402094	1.6364359013374346	0.06802060254904836	1.2591993852476202	0.014925373134328358	1	pyruvate_mito_entry
GSE217414	19G081	hla_drb5_original_to_pyruvate_mito_entry	20	1276	1472	139	0.3294583491490778	0.20132676683505685	0.12813158231402094	1.6364359013374346	0.0779005267306603	1.302751886228276	0.009950248756218905	1	pyruvate_mito_entry
GSE217414	19G081	hla_drb5_original_to_glutamate_transamination	8	1276	1472	139	0.10339010087820491	0.04685595465616212	0.05653414622204279	2.206552008958116	0.03931064835984976	1.6222729332808639	0.04477611940298507	1	glutamate_transamination
GSE217414	19G081	hla_drb5_original_to_glutamate_transamination	12	1276	1472	139	0.10339010087820491	0.04685595465616212	0.05653414622204279	2.206552008958116	0.036379547498312924	1.5388717718243583	0.009950248756218905	1	glutamate_transamination
GSE217414	19G081	hla_drb5_original_to_glutamate_transamination	16	1276	1472	139	0.10339010087820491	0.04685595465616212	0.05653414622204279	2.206552008958116	0.026884195523870332	1.3526296623362537	0.004975124378109453	1	glutamate_transamination
GSE217414	19G081	hla_drb5_original_to_glutamate_transamination	20	1276	1472	139	0.10339010087820491	0.04685595465616212	0.05653414622204279	2.206552008958116	0.03041109346960444	1.4132636385623476	0.014925373134328358	1	glutamate_transamination
GSE217414	19G081	hla_drb5_original_to_lactate_import_anabolic	8	1276	1472	139	0.2125036387748022	0.12485331925315192	0.08765031952165027	1.7020263461633003	0.06129268175018021	1.4006764130017382	0.009950248756218905	1	lactate_import_anabolic
GSE217414	19G081	hla_drb5_original_to_lactate_import_anabolic	12	1276	1472	139	0.2125036387748022	0.12485331925315192	0.08765031952165027	1.7020263461633003	0.05972428685561993	1.3834150984210558	0.004975124378109453	1	lactate_import_anabolic
GSE217414	19G081	hla_drb5_original_to_lactate_import_anabolic	16	1276	1472	139	0.2125036387748022	0.12485331925315192	0.08765031952165027	1.7020263461633003	0.04534852271062951	1.2685598804151932	0.004975124378109453	1	lactate_import_anabolic
GSE217414	19G081	hla_drb5_original_to_lactate_import_anabolic	20	1276	1472	139	0.2125036387748022	0.12485331925315192	0.08765031952165027	1.7020263461633003	0.0547084216893205	1.3344810765755084	0.004975124378109453	1	lactate_import_anabolic
GSE217414	19G081	hla_drb5_original_to_lactate_export_glycolytic	8	1276	1472	139	0.30940322476083454	0.23033104914136163	0.07907217561947291	1.343297944042897	0.07005726684738461	1.2879598794975513	0.25870646766169153	0	lactate_export_glycolytic
GSE217414	19G081	hla_drb5_original_to_lactate_export_glycolytic	12	1276	1472	139	0.30940322476083454	0.23033104914136163	0.07907217561947291	1.343297944042897	0.07182641834259305	1.2962104297620485	0.32338308457711445	0	lactate_export_glycolytic
GSE217414	19G081	hla_drb5_original_to_lactate_export_glycolytic	16	1276	1472	139	0.30940322476083454	0.23033104914136163	0.07907217561947291	1.343297944042897	0.04787845211686819	1.181509951903057	0.03482587064676617	1	lactate_export_glycolytic
GSE217414	19G081	hla_drb5_original_to_lactate_export_glycolytic	20	1276	1472	139	0.30940322476083454	0.23033104914136163	0.07907217561947291	1.343297944042897	0.06175492371668887	1.242561231227694	0.1691542288557214	0	lactate_export_glycolytic
GSE225857	L1	hla_drb5_original_to_pyruvate_mito_entry	8	1185	1087	2400	0.5208084697054576	0.3276195101373025	0.19318895956815507	1.589674770855958	0.1846616764398366	1.5331447830042615	0.15422885572139303	0	pyruvate_mito_entry
GSE225857	L1	hla_drb5_original_to_pyruvate_mito_entry	12	1185	1087	2400	0.5208084697054576	0.3276195101373025	0.19318895956815507	1.589674770855958	0.15618361038387374	1.430714403099945	0.004975124378109453	1	pyruvate_mito_entry
GSE225857	L1	hla_drb5_original_to_pyruvate_mito_entry	16	1185	1087	2400	0.5208084697054576	0.3276195101373025	0.19318895956815507	1.589674770855958	0.1851575037944725	1.5131178327810662	0.21890547263681592	0	pyruvate_mito_entry
GSE225857	L1	hla_drb5_original_to_pyruvate_mito_entry	20	1185	1087	2400	0.5208084697054576	0.3276195101373025	0.19318895956815507	1.589674770855958	0.1005319486050017	1.2519775315900687	0.004975124378109453	1	pyruvate_mito_entry
GSE225857	L1	hla_drb5_original_to_glutamate_transamination	8	1185	1087	2400	0.36645626251289637	0.22839138101230078	0.1380648815005956	1.6045100339979976	0.12918568342627512	1.5324552779562008	0.10945273631840796	0	glutamate_transamination
GSE225857	L1	hla_drb5_original_to_glutamate_transamination	12	1185	1087	2400	0.36645626251289637	0.22839138101230078	0.1380648815005956	1.6045100339979976	0.11232491134938545	1.4438679387899334	0.009950248756218905	1	glutamate_transamination
GSE225857	L1	hla_drb5_original_to_glutamate_transamination	16	1185	1087	2400	0.36645626251289637	0.22839138101230078	0.1380648815005956	1.6045100339979976	0.13084100051915198	1.5167681489452451	0.15422885572139303	0	glutamate_transamination
GSE225857	L1	hla_drb5_original_to_glutamate_transamination	20	1185	1087	2400	0.36645626251289637	0.22839138101230078	0.1380648815005956	1.6045100339979976	0.07258119526734222	1.258945691827792	0.004975124378109453	1	glutamate_transamination
GSE225857	L1	hla_drb5_original_to_lactate_import_anabolic	8	1185	1087	2400	0.47826076823911073	0.31511586974336375	0.16314489849574698	1.5177298706936444	0.15372163607177763	1.4639538049671768	0.09950248756218906	0	lactate_import_anabolic
GSE225857	L1	hla_drb5_original_to_lactate_import_anabolic	12	1185	1087	2400	0.47826076823911073	0.31511586974336375	0.16314489849574698	1.5177298706936444	0.1296624077274486	1.376018433891945	0.004975124378109453	1	lactate_import_anabolic
GSE225857	L1	hla_drb5_original_to_lactate_import_anabolic	16	1185	1087	2400	0.47826076823911073	0.31511586974336375	0.16314489849574698	1.5177298706936444	0.1553396085223524	1.4523014151408962	0.13930348258706468	0	lactate_import_anabolic
GSE225857	L1	hla_drb5_original_to_lactate_import_anabolic	20	1185	1087	2400	0.47826076823911073	0.31511586974336375	0.16314489849574698	1.5177298706936444	0.08306631406981908	1.2208788142057398	0.004975124378109453	1	lactate_import_anabolic
GSE225857	L1	hla_drb5_original_to_lactate_export_glycolytic	8	1185	1087	2400	0.6915193602383736	0.5289285767685752	0.16259078346979838	1.3073964815119785	0.14779694944898616	1.2713345083883252	0.029850746268656716	1	lactate_export_glycolytic
GSE225857	L1	hla_drb5_original_to_lactate_export_glycolytic	12	1185	1087	2400	0.6915193602383736	0.5289285767685752	0.16259078346979838	1.3073964815119785	0.1141778267150065	1.2037674932578775	0.004975124378109453	1	lactate_export_glycolytic
GSE225857	L1	hla_drb5_original_to_lactate_export_glycolytic	16	1185	1087	2400	0.6915193602383736	0.5289285767685752	0.16259078346979838	1.3073964815119785	0.146786309463575	1.2644545796779054	0.04477611940298507	1	lactate_export_glycolytic
GSE225857	L1	hla_drb5_original_to_lactate_export_glycolytic	20	1185	1087	2400	0.6915193602383736	0.5289285767685752	0.16259078346979838	1.3073964815119785	0.0627732719091943	1.1058330162549557	0.004975124378109453	1	lactate_export_glycolytic
GSE225857	L2	hla_drb5_original_to_pyruvate_mito_entry	8	1486	2343	967	0.14382444012490297	0.1226251338587613	0.02119930626614168	1.172878965339674	0.022405358620754327	1.176577674935098	0.582089552238806	0	pyruvate_mito_entry
GSE225857	L2	hla_drb5_original_to_pyruvate_mito_entry	12	1486	2343	967	0.14382444012490297	0.1226251338587613	0.02119930626614168	1.172878965339674	0.01558552732447408	1.1178893478385463	0.16417910447761194	0	pyruvate_mito_entry
GSE225857	L2	hla_drb5_original_to_pyruvate_mito_entry	16	1486	2343	967	0.14382444012490297	0.1226251338587613	0.02119930626614168	1.172878965339674	0.018692074404055337	1.1424272554403212	0.3582089552238806	0	pyruvate_mito_entry
GSE225857	L2	hla_drb5_original_to_pyruvate_mito_entry	20	1486	2343	967	0.14382444012490297	0.1226251338587613	0.02119930626614168	1.172878965339674	0.010224115042928443	1.074111435491613	0.014925373134328358	1	pyruvate_mito_entry
GSE225857	L2	hla_drb5_original_to_glutamate_transamination	8	1486	2343	967	0.11580365448090438	0.09509127587766397	0.020712378603240406	1.2178157608263362	0.017268519274589163	1.1738540982334238	0.23880597014925373	0	glutamate_transamination
GSE225857	L2	hla_drb5_original_to_glutamate_transamination	12	1486	2343	967	0.11580365448090438	0.09509127587766397	0.020712378603240406	1.2178157608263362	0.01192979751657006	1.1160631438807027	0.04477611940298507	1	glutamate_transamination
GSE225857	L2	hla_drb5_original_to_glutamate_transamination	16	1486	2343	967	0.11580365448090438	0.09509127587766397	0.020712378603240406	1.2178157608263362	0.013812916898536986	1.1345465508666952	0.06965174129353234	0	glutamate_transamination
GSE225857	L2	hla_drb5_original_to_glutamate_transamination	20	1486	2343	967	0.11580365448090438	0.09509127587766397	0.020712378603240406	1.2178157608263362	0.0056715441996500774	1.05269319793077	0.009950248756218905	1	glutamate_transamination
GSE225857	L2	hla_drb5_original_to_lactate_import_anabolic	8	1486	2343	967	0.15781520513822675	0.14295548250627746	0.01485972263194929	1.1039465039845309	0.01785101961361628	1.123953452598732	0.8059701492537313	0	lactate_import_anabolic
GSE225857	L2	hla_drb5_original_to_lactate_import_anabolic	12	1486	2343	967	0.15781520513822675	0.14295548250627746	0.01485972263194929	1.1039465039845309	0.009258510574789354	1.0616018368997997	0.11940298507462686	0	lactate_import_anabolic
GSE225857	L2	hla_drb5_original_to_lactate_import_anabolic	16	1486	2343	967	0.15781520513822675	0.14295548250627746	0.01485972263194929	1.1039465039845309	0.013357425134664511	1.0900815737619158	0.3582089552238806	0	lactate_import_anabolic
GSE225857	L2	hla_drb5_original_to_lactate_import_anabolic	20	1486	2343	967	0.15781520513822675	0.14295548250627746	0.01485972263194929	1.1039465039845309	0.002365782250164199	1.0154270410338766	0.004975124378109453	1	lactate_import_anabolic
GSE225857	L2	hla_drb5_original_to_lactate_export_glycolytic	8	1486	2343	967	0.2217041662596694	0.2028272662074491	0.018876900052220313	1.0930688482135005	0.01771387688303112	1.0844066921500803	0.4228855721393035	0	lactate_export_glycolytic
GSE225857	L2	hla_drb5_original_to_lactate_export_glycolytic	12	1486	2343	967	0.2217041662596694	0.2028272662074491	0.018876900052220313	1.0930688482135005	0.008680507118211736	1.04037687550325	0.03980099502487562	1	lactate_export_glycolytic
GSE225857	L2	hla_drb5_original_to_lactate_export_glycolytic	16	1486	2343	967	0.2217041662596694	0.2028272662074491	0.018876900052220313	1.0930688482135005	0.010830842294896392	1.050357827812521	0.07960199004975124	0	lactate_export_glycolytic
GSE225857	L2	hla_drb5_original_to_lactate_export_glycolytic	20	1486	2343	967	0.2217041662596694	0.2028272662074491	0.018876900052220313	1.0930688482135005	-0.0020526423765804937	0.9914499033026732	0.004975124378109453	1	lactate_export_glycolytic
